DateTime,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117
2012/5/1 5:54,0,0.006911839,0.001854749,0,0.005387755,0.002491968,0.003312758,0.004018833,0,0.00244534,0.002865385,0,0.002081027,0.005578989,0,0.003661539,0,0.00539394,0.002833824,0,0.000798501,0.001182982,0,0.004629214,0,0.003895288,0,0,0,0.00543928,0.00121064,0.001757895,0.002397081,0.013773747,0.004265165,0,0.000592593,0.003714286,0,0.001798914,0.000289378,0,0.002298619,0.003746836,0.010731216,0,0.009873606,0.005645244,0.006176471,0.038037707,0.009589067,0,0,0.022551137,0.003270121,0.00531401,0.008585954,0,0.004847787,0,0.005071429,0,0.004089434,0.002568863,0.0015,0.003160221,0,0.006525764,0.005363637,0,0.00522448,0.003741294,0.004553104,0.005722782,0.000212202,0.012155061,0.00571103,0.002828258,0.004496683,0.00337765,0.002644628,0,0.006926218,0.004738637,0.004144965,0,0,0.003275,0.006429752,0.006141414,0,0.003672131,0.004680515,0,0,0.002883721,0,0.003846503,0.00355,0.005040639,0.002900638,0.003182796,0,0.004,0.00142751,0.001982301,0,0.000413793,0.003503208,0.003724868,0,0.002983803,0.003377778,0.011096591,0.047201765,0.012055556,0.003672131,0.004680515
2012/5/1 5:57,0,0.006982368,0.001877095,0,0.005414966,0.002424594,0.003290614,0.004052731,0,0.00244534,0.002826923,0,0.002174019,0.005500314,0,0.0036,0,0.005424243,0.002780883,0,0.00080225,0.00121107,0,0.004674158,0,0.003832461,0,0,0,0.005454197,0.001187635,0.001747369,0.002397081,0.013593411,0.004189056,0,0.000592593,0.003773243,0,0.001927083,0.000282052,0,0.00231414,0.003814346,0.010516351,0,0.009695168,0.005676093,0.005845588,0.038798714,0.009814497,0,0,0.021715909,0.003598703,0.005507247,0.008645019,0,0.004926773,0,0.005061225,0,0.004048875,0.002646707,0.001473684,0.003182321,0,0.006498537,0.005409091,0,0.005127457,0.003636816,0.004603865,0.005865895,0.000229885,0.011882668,0.005700899,0.002828258,0.004447682,0.003427746,0.002644628,0,0.006973672,0.004784091,0.004245282,0,0,0.003325,0.006479339,0.00610101,0,0.003912569,0.004859055,0,0,0.00275969,0,0.003841459,0.0036,0.005148514,0.002784619,0.003096774,0,0.004041885,0.001457249,0.001964602,0,0.000379311,0.003705579,0.003873016,0,0.003002281,0.003355556,0.011215909,0.047048637,0.012055556,0.003912569,0.004859055
2012/5/1 6:00,0,0.007052897,0.001899442,0,0.005442177,0.002357221,0.00326847,0.004086629,0,0.00244534,0.002788462,0,0.002267012,0.00542164,0,0.003538462,0,0.005454546,0.002727941,0,0.000805998,0.001239158,0,0.004719101,0,0.003769634,0,0,0,0.005469114,0.00116463,0.001736842,0.002397081,0.013410888,0.004112946,0,0.000592593,0.0038322,0,0.002055252,0.000274726,0,0.00232966,0.003881857,0.010301487,0,0.009516729,0.005706941,0.005514706,0.039559721,0.010039927,0,0,0.020880682,0.003927285,0.005700483,0.008704085,0,0.00500576,0,0.005051021,0,0.004008315,0.002724551,0.001447369,0.00320442,0,0.006471309,0.005454546,0,0.005030434,0.003532339,0.004654627,0.006009007,0.000247569,0.011610276,0.005690769,0.002828258,0.004398682,0.003477842,0.002644628,0,0.007021126,0.004829546,0.0043456,0,0,0.003375,0.006528926,0.006060606,0,0.004153006,0.005037594,0,0,0.002635659,0,0.003836415,0.00365,0.005256389,0.002668599,0.003010753,0,0.00408377,0.001486989,0.001946903,0,0.000344828,0.00390795,0.004021164,0,0.003020759,0.003333334,0.011335228,0.046895508,0.012055556,0.004153006,0.005037594
2012/5/1 6:03,0,0.007375315,0.001821229,0,0.005251701,0.002382455,0.003335013,0.004135593,0,0.002705741,0.002769231,0,0.002261203,0.005830245,0,0.003323077,0,0.005272728,0.002707353,0,0.000862231,0.00135316,0,0.004494382,0,0.003539267,0,0,0,0.005705572,0.001250899,0.001642106,0.002419888,0.015235304,0.004310983,0,0.000681482,0.003764173,0,0.002033125,0.000274726,0,0.00328791,0.00371308,0.010344374,0,0.009115242,0.0058509,0.004963236,0.04108123,0.010060402,0,0,0.019210228,0.004154,0.005603865,0.008733471,0,0.005242982,0,0.005071429,0,0.004048875,0.002766467,0.001368421,0.002961326,0,0.006566606,0.005,0,0.005466857,0.003597015,0.00470965,0.006581314,0.000339523,0.011481368,0.005650146,0.002840817,0.004854992,0.003466282,0.002644628,0,0.008225919,0.005034091,0.004612927,0,0,0.003475,0.006264463,0.005878788,0,0.00410929,0.004948261,0,0,0.002651163,0,0.004060582,0.003696667,0.006001684,0.003204715,0.002881721,0,0.00408377,0.001420075,0.001964602,0,0.000379311,0.00388703,0.004253969,0,0.00325595,0.0032,0.011215909,0.049354747,0.012288889,0.00410929,0.004948261
2012/5/1 6:06,0,0.007697733,0.001743017,0,0.005061225,0.002407688,0.003401556,0.004184558,0,0.002966141,0.00275,0,0.002255395,0.006238851,0,0.003107693,0,0.005090909,0.002686765,0,0.000918463,0.001467163,0,0.004269663,0,0.003308901,0,0,0,0.00594203,0.001337168,0.001547369,0.002442696,0.017283118,0.004509019,0,0.000770371,0.003696145,0,0.002010998,0.000274726,0,0.004246159,0.003544304,0.010387261,0,0.008713755,0.005994859,0.004411765,0.042602738,0.010080877,0,0,0.017539773,0.004380716,0.005507247,0.008762857,0,0.005480204,0,0.005091837,0,0.004089434,0.002808383,0.001289474,0.002718232,0,0.006661902,0.004545455,0,0.00590328,0.003661692,0.004764674,0.007153621,0.000431477,0.01135246,0.005609523,0.002853375,0.005311302,0.003454721,0.002644628,0,0.009430711,0.005238637,0.004880254,0,0,0.003575,0.006,0.00569697,0,0.004065574,0.004858927,0,0,0.002666667,0,0.004284749,0.003743334,0.006746978,0.003740831,0.002752688,0,0.00408377,0.00135316,0.001982301,0,0.000413793,0.003866109,0.004486773,0,0.003491141,0.003066667,0.011096591,0.051813986,0.012522222,0.004065574,0.004858927
2012/5/1 6:09,0,0.008020151,0.001664805,0,0.004870749,0.002432921,0.003468099,0.004233522,0,0.003226542,0.002730769,0,0.002249586,0.006647456,0,0.002892308,0,0.004909091,0.002666177,0,0.000974696,0.001581165,0,0.004044944,0,0.003078534,0,0,0,0.006178489,0.001423437,0.001452632,0.002465504,0.019598037,0.004707056,0,0.00085926,0.003628118,0,0.00198887,0.000274726,0,0.005204408,0.003375528,0.010430148,0,0.008312268,0.006138818,0.003860294,0.044124246,0.010101352,0,0,0.015869318,0.004607432,0.005410628,0.008792242,0,0.005717427,0,0.005112245,0,0.004129994,0.0028503,0.001210527,0.002475138,0,0.006757199,0.004090909,0,0.006339703,0.003726368,0.004819697,0.007725928,0.000523431,0.011223552,0.0055689,0.002865934,0.005767612,0.00344316,0.002644628,0,0.010635504,0.005443182,0.005147581,0,0,0.003675,0.005735537,0.005515152,0,0.004021858,0.004769594,0,0,0.002682171,0,0.004508916,0.00379,0.007492273,0.004276947,0.002623656,0,0.00408377,0.001286246,0.002,0,0.000448276,0.003845189,0.004719577,0,0.003726333,0.002933334,0.010977273,0.054273225,0.012755556,0.004021858,0.004769594
2012/5/1 6:12,0,0.00834257,0.001586592,0,0.004680272,0.002458155,0.003534642,0.004282486,0,0.003486942,0.002711539,0,0.002243778,0.007056062,0,0.002676923,0,0.004727273,0.002645588,0,0.001030928,0.001695168,0,0.003820225,0,0.002848168,0,0,0,0.006414947,0.001509705,0.001357895,0.002488311,0.022235969,0.004905092,0,0.000948148,0.003560091,0,0.001966743,0.000274726,0,0.006162657,0.003206751,0.010473035,0,0.007910781,0.006282777,0.003308824,0.045645755,0.010121827,0,0,0.014198864,0.004834148,0.00531401,0.008821628,0,0.005954649,0,0.005132653,0,0.004170554,0.002892216,0.001131579,0.002232044,0,0.006852495,0.003636364,0,0.006776126,0.003791045,0.004874721,0.008298235,0.000615385,0.011094645,0.005528277,0.002878493,0.006223923,0.003431599,0.002644628,0,0.011840297,0.005647728,0.005414909,0,0,0.003775,0.005471075,0.005333334,0,0.003978142,0.00468026,0,0,0.002697675,0,0.004733083,0.003836667,0.008237568,0.004813063,0.002494624,0,0.00408377,0.001219331,0.002017699,0,0.000482759,0.003824268,0.004952381,0,0.003961524,0.0028,0.010857955,0.056732463,0.012988889,0.003978142,0.00468026
2012/5/1 6:15,0,0.008664988,0.00150838,0,0.004489796,0.002483388,0.003601185,0.00433145,0,0.003747343,0.002692308,0,0.00223797,0.007464667,0,0.002461539,0,0.004545455,0.002625,0,0.001087161,0.00180917,0,0.003595506,0,0.002617801,0,0,0,0.006651405,0.001595974,0.001263158,0.002511119,0.02526959,0.005103128,0,0.001037037,0.003492064,0,0.001944616,0.000274726,0,0.007120907,0.003037975,0.010515922,0,0.007509294,0.006426735,0.002757353,0.047167263,0.010142302,0,0,0.012528409,0.005060864,0.005217392,0.008851014,0,0.006191871,0,0.005153061,0,0.004211114,0.002934132,0.001052632,0.001988951,0,0.006947791,0.003181818,0,0.007212549,0.003855722,0.004929744,0.008870541,0.000707339,0.010965737,0.005487654,0.002891052,0.006680233,0.003420039,0.002644628,0,0.013045089,0.005852273,0.005682236,0,0,0.003875,0.005206612,0.005151515,0,0.003934426,0.004590927,0,0,0.002713179,0,0.00495725,0.003883334,0.008982863,0.005349179,0.002365592,0,0.00408377,0.001152417,0.002035398,0,0.000517242,0.003803348,0.005185185,0,0.004196715,0.002666667,0.010738637,0.059191702,0.013222222,0.003934426,0.004590927
2012/5/1 6:18,0,0.008392947,0.00150838,0,0.00429932,0.002517117,0.003567858,0.004387948,0,0.004054581,0.00275,0,0.002267012,0.007480371,0,0.002492308,0,0.004454546,0.002636765,0,0.001094658,0.001799257,0,0.003550562,0,0.002596859,0,0,0,0.007661633,0.00164486,0.001221053,0.002488311,0.02694167,0.00511835,0,0.000977778,0.003496599,0,0.00197116,0.000274726,0,0.006799473,0.003172996,0.010816561,0,0.007003718,0.006344473,0.002647059,0.047522231,0.010572482,0,0,0.014477273,0.004900216,0.005429952,0.008791949,0,0.006889979,0,0.005183674,0,0.004312614,0.002988024,0.001013158,0.002143647,0,0.006920564,0.003045455,0,0.007385883,0.003850747,0.004815478,0.008555723,0.000721486,0.01092272,0.005629885,0.003016766,0.006957145,0.00344316,0.002942149,0,0.012250513,0.005852273,0.0056377,0,0,0.003825,0.005289256,0.005353536,0,0.003978142,0.004590927,0,0,0.002682171,0,0.004871245,0.00379,0.009279957,0.005137933,0.002322581,0,0.004125655,0.001137547,0.002053098,0,0.000517242,0.003845189,0.004994709,0,0.004053729,0.002644445,0.010977273,0.058576127,0.013222222,0.003978142,0.004590927
2012/5/1 6:21,0,0.008120907,0.00150838,0,0.004108844,0.002550846,0.003534531,0.004444445,0,0.004361819,0.002807693,0,0.002296053,0.007496074,0,0.002523077,0,0.004363637,0.00264853,0,0.001102156,0.001789343,0,0.003505618,0,0.002575916,0,0,0,0.008671861,0.001693746,0.001178948,0.002465504,0.028733183,0.005133572,0,0.000918519,0.003501134,0,0.001997704,0.000274726,0,0.006478038,0.003308017,0.0111172,0,0.006498142,0.006262211,0.002536765,0.047877199,0.011002662,0,0,0.016426137,0.004739569,0.005642512,0.008732883,0,0.007588086,0,0.005214286,0,0.004414115,0.003041916,0.000973684,0.002298343,0,0.006893336,0.002909091,0,0.007559217,0.003845771,0.004701211,0.008240904,0.000735632,0.010879703,0.005772116,0.003142481,0.007234057,0.003466282,0.00323967,0,0.011455936,0.005852273,0.005593164,0,0,0.003775,0.005371901,0.005555556,0,0.004021858,0.004590927,0,0,0.002651163,0,0.004785241,0.003696667,0.009577052,0.004926686,0.00227957,0,0.00416754,0.001122677,0.002070797,0,0.000517242,0.00388703,0.004804233,0,0.003910744,0.002622222,0.011215909,0.057960552,0.013222222,0.004021858,0.004590927
